Category,Year,Title,Venue,PDF,File
fl in top-tier journal,2024,Selective knowledge sharing for privacy-preserving federated distillation without a good teacher,Nat. Commun.,https://arxiv.org/pdf/2304.01731.pdf,AwesomeFL_PDF/fl in top-tier journal/2024_Selective knowledge sharing for privacy-preserving federated distillation without a good t.pdf
fl in top-tier journal,2023,Multi-client distributed blind quantum computation with the Qline architecture,Nat. Commun.,https://arxiv.org/pdf/2306.05195.pdf,AwesomeFL_PDF/fl in top-tier journal/2023_Multi-client distributed blind quantum computation with the Qline architecture.pdf
fl in top-tier journal,2023,Device-independent quantum randomness–enhanced zero-knowledge proof,PNAS,https://arxiv.org/pdf/2111.06717.pdf,AwesomeFL_PDF/fl in top-tier journal/2023_Device-independent quantum randomness–enhanced zero-knowledge proof.pdf
fl in top-tier journal,2023,Federated benchmarking of medical artificial intelligence with MedPerf,Nat. Mach. Intell.,https://arxiv.org/pdf/2110.01406.pdf,AwesomeFL_PDF/fl in top-tier journal/2023_Federated benchmarking of medical artificial intelligence with MedPerf.pdf
fl in top-tier journal,2023,Algorithmic fairness in artificial intelligence for medicine and healthcare,Nat. Biomed. Eng. (Perspective),https://arxiv.org/pdf/2110.00603.pdf,AwesomeFL_PDF/fl in top-tier journal/2023_Algorithmic fairness in artificial intelligence for medicine and healthcare.pdf
fl in top-tier journal,2022,Federated learning enables big data for rare cancer boundary detection,Nat. Commun.,https://arxiv.org/pdf/2204.10836.pdf,AwesomeFL_PDF/fl in top-tier journal/2022_Federated learning enables big data for rare cancer boundary detection.pdf
fl in top-tier journal,2022,Communication-efficient federated learning via knowledge distillation,Nat. Commun.,https://arxiv.org/pdf/2108.13323.pdf,AwesomeFL_PDF/fl in top-tier journal/2022_Communication-efficient federated learning via knowledge distillation.pdf
fl in top-tier journal,2021,Advancing COVID-19 diagnosis with privacy-preserving collaboration in artificial intelligence,Nat. Mach. Intell.,https://arxiv.org/pdf/2111.09461.pdf,AwesomeFL_PDF/fl in top-tier journal/2021_Advancing COVID-19 diagnosis with privacy-preserving collaboration in artificial intellige.pdf
fl in top ai conference and journal,2024,BOBA: Byzantine-Robust Federated Learning with Label Skewness,AISTATS,https://arxiv.org/pdf/2208.12932.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_BOBA: Byzantine-Robust Federated Learning with Label Skewness.pdf
fl in top ai conference and journal,2024,Federated Linear Contextual Bandits with Heterogeneous Clients,AISTATS,https://arxiv.org/pdf/2403.00116.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Federated Linear Contextual Bandits with Heterogeneous Clients.pdf
fl in top ai conference and journal,2024,Federated Experiment Design under Distributed Differential Privacy,AISTATS,https://arxiv.org/pdf/2311.04375.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Federated Experiment Design under Distributed Differential Privacy.pdf
fl in top ai conference and journal,2024,Escaping Saddle Points in Heterogeneous Federated Learning via Distributed SGD with Communication Compression,AISTATS,https://arxiv.org/pdf/2310.19059.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Escaping Saddle Points in Heterogeneous Federated Learning via Distributed SGD with Commun.pdf
fl in top ai conference and journal,2024,Asynchronous SGD on Graphs: a Unified Framework for Asynchronous Decentralized and Federated Optimization,AISTATS,https://arxiv.org/pdf/2311.00465.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Asynchronous SGD on Graphs: a Unified Framework for Asynchronous Decentralized and Federat.pdf
fl in top ai conference and journal,2024,SIFU: Sequential Informed Federated Unlearning for Efficient and Provable Client Unlearning in Federated Optimization,AISTATS,https://arxiv.org/pdf/2211.11656.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_SIFU: Sequential Informed Federated Unlearning for Efficient and Provable Client Unlearnin.pdf
fl in top ai conference and journal,2024,Compression with Exact Error Distribution for Federated Learning,AISTATS,https://arxiv.org/pdf/2310.20682.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Compression with Exact Error Distribution for Federated Learning.pdf
fl in top ai conference and journal,2024,Adaptive Federated Minimax Optimization with Lower Complexities,AISTATS,https://arxiv.org/pdf/2211.07303.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Adaptive Federated Minimax Optimization with Lower Complexities.pdf
fl in top ai conference and journal,2024,Adaptive Compression in Federated Learning via Side Information,AISTATS,https://arxiv.org/pdf/2306.12625.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Adaptive Compression in Federated Learning via Side Information.pdf
